GW_CSA_AAA,Усиленный патруль безопасности
GW_CSA_AAB,Отдел корпоративной безопасности
GW_CSA_AAC,Планетарные силы умиротворения
GW_CSA_AAD,Тяжелые силы быстрого реагирования
GW_CSA_AAE,Отряды городского патруля
GW_CSA_AAF,Боевой порядок дроидов CSA
GW_CSA_AAG,Основная группа по борьбе с беспорядками
GW_CSA_AAH,Высокомобильные силы обороны
GW_CSA_AAI,Легкое крыло воздушной поддержки
GW_CSA_AAJ,Тяжелое авиационное крыло поддержки
GW_CSA_AAK,Компания по взысканию долгов
GW_CSA_AAL,Оперативная группа по усмирению восстания
GW_CSA_AAM,Группа дальнего подавления
GW_CSA_AAN,Группа ликвидации тяжелого штурма
GW_CSA_AAO,Планетарный отряд захвата
GW_CSA_AAP,Усиленная компания Espo Line
GW_EA_AAA,Армейский взвод администрации Эриаду
GW_EA_AAB,Армейский отряд администрации Эриаду
GW_EA_AAC,Независимый разведывательный взвод Управления Эриаду
GW_EA_AAD,Взвод армейского специального назначения
GW_EA_AAE,Взвод поддержки властей Эриаду
GW_EA_AAF,Легкобронированный взвод власти Эриаду
GW_EA_AAG,Передовая батарея легкой артиллерии Эриаду
GW_EA_AAH,Легкий разведывательный взвод администрации Эриаду
GW_EA_AAI,Разведывательная группа администрации Эриаду
GW_EA_AAJ,Штурмовая разведывательная группа властей Эриаду
GW_EA_AAK,Взвод специальных миссий армии помощи администрации Эриаду
GW_EA_AAL,Отряд лёгких репульсоров Эриаду
GW_EA_AAM,Группа воздушной артиллерии Эриаду
GW_EA_AAN,Зенитная батарея Управления Эриаду
GW_EA_AAO,Рота тяжелых репульсорных танков Управления Эриаду
GW_EA_AAP,Тяжелое авиационное крыло Управления Эриаду
GW_EA_AAQ,Артиллерийская батарея управления Эриаду
GW_EA_AAR,Штурмовая рота тяжелых шагоходов Управления Эриаду
GW_EA_AAS,Передовая командно-огневая база Управления Эриаду
GW_EA_AAT,Компания специальных миссий
GW_EA_AAU,Рота расширенных специальных миссий
GW_EOTH_AAA,Взвод десантников-фаланги
GW_EOTH_AAB,Отряд штурмовиков-коммандос
GW_EOTH_AAC,Компания Соник Уокер
GW_EOTH_AAD,Фаланга Сил быстрого развертывания
GW_EOTH_AAE,Специальная оперативная группа штурмовиков-коммандос
GW_EOTH_AAF,Броневая группа суставов рук
GW_EOTH_AAG,Взвод городского подавления
GW_EOTH_AAH,Отряд фронтовой поддержки рук
GW_EOTH_AAI,Ручное воздушно-штурмовое крыло
GW_EOTH_AAJ,Батарея ручной артиллерийской разведки
GW_EOTH_AAK,Ручной мобильный бронетанковый взвод
GW_EOTH_AAL,Ручной воздушно-штурмовой взвод
GW_EOTH_AAM,Ручной тяжелый осадный взвод
GW_EOTH_AAN,Ручной общевойсковой взвод
GW_GE_AAA,Истощенный имперский штурмовой взвод
GW_GE_AAB,Застава Имперского гарнизона
GW_GE_AAC,Линейный взвод Имперской Армии
GW_GE_AAD,Имперская группа поддержки
GW_GE_AAE,Имперский взвод штурмовиков
GW_GE_AAF,Взвод легкой бронетехники
GW_GE_AAG,Имперский гусеничный штурмовой отряд
GW_GE_AAH,Оперативная группа дальней разведки
GW_GE_AAI,Имперский боевой отряд разведчиков
GW_GE_AAJ,Имперский штурмовой отряд штурмовиков
GW_GE_AAK,Императорская зенитная батарея
GW_GE_AAL,Истощенный средний имперский бронетанковый взвод
GW_GE_AAM,Имперское воздушно-десантное разведывательное копье
GW_GE_AAN,Имперский взвод шагоходов
GW_GE_AAO,Специальный пехотный взвод
GW_GE_AAP,Взвод усиленной брони
GW_GE_AAQ,Ударная группа «Черная дыра»
GW_GE_AAR,Имперский штурмовой отряд шагоходов
GW_GE_AAS,Имперский мотострелковый взвод
GW_GE_AAT,Императорский артиллерийский отряд
GW_GE_AAU,Имперский элитный отдел быстрого реагирования
GW_GE_AAV,Имперская авиационная эскадрилья
GW_GE_AAX,Элитное имперское штурмовое отделение шагоходов
GW_GE_AAY,Раздел элитной техники Темной Империи
GW_GE_AAZ,Имперский воздушно-десантный взвод
GW_GE_ABA,Переоборудованный Имперский штурмовой отряд шагоходов
GW_GM_AAA,Взвод Большой армии Малдруда
GW_GM_AAB,Отряд Великой армии Малдруда
GW_GM_AAC,Большой малдрудский легкий разведывательный зачистка
GW_GM_AAD,Большой взвод поддержки Малдруда
GW_GM_AAE,Механизированное копье-копье
GW_GM_AAF,Механизированная легкая кавалерийская эскадрилья
GW_GM_AAG,Большая зенитная батарея Малдруда
GW_GM_AAH,Группа воздушной разведки Большого Малдруда
GW_GM_AAI,Большой кавалерийский отряд Малдруда
GW_GM_AAJ,Оперативная группа по рейдам Бюро разведки и безопасности
GW_GM_AAK,Элитная штурмовая группа Большого Малдруда
GW_GM_AAL,Команда поддержки ISB
GW_GM_AAM,Большой механизированный штурмовой взвод Малдруда
GW_GM_AAN,Большой Малдрудский воздушно-десантный снайперский отряд
GW_GM_AAO,Большая артиллерийская батарея Малдруда
GW_GM_AAP,Большой Малдрудский тяжелый бронетанковый штурмовой взвод
GW_GM_AAQ,Большой Малдрудский элитный воздушно-десантный взвод
GW_GM_AAR,Большая линейная механизированная эскадрилья Малдруда
GW_GM_AAS,Усиленная механизированная легкая кавалерийская эскадрилья
GW_HAPES_AAA,Хейпанский пехотно-штурмовой взвод
GW_HAPES_AAB,Пехотный взвод Королевского Дома
GW_HAPES_AAC,Хейпанский мобильный вспомогательный взвод
GW_HAPES_AAD,Хапанский легкобронированный взвод
GW_HAPES_AAE,Хейпанская королевская гвардейская рота
GW_HAPES_AAF,Хейпанский взвод поддержки
GW_HAPES_AAG,Хейпанский легкий полет воздушной поддержки
GW_HAPES_AAH,Хейпанский взвод тяжелой бронетехники
GW_HAPES_AAI,Хапанская артиллерийская батарея
GW_HAPES_AAJ,Хейпанская тяжелая авиационная эскадрилья
GW_HAPES_AAK,Хапанский королевский дворцовый отряд
GW_HAPES_AAL,Хапанский резервный отряд королевской гвардии
GW_HUTTS_AAA,Мандалорская рота наёмников
GW_HUTTS_AAB,Рота рабов-солдат хаттов
GW_HUTTS_AAC,Кавалерийский взвод хатт-свупов
GW_HUTTS_AAD,Отряд бронированных хаттов со свитой
GW_HUTTS_AAE,Противовоздушная батарея Хатта
GW_HUTTS_AAF,Линия перестрелки хатт-скифов
GW_HUTTS_AAG,Хатт-рейдерская группа
GW_HUTTS_AAH,Усиленное отделение бронетанковых хаттов со свитой
GW_HUTTS_AAI,Взвод шелл-хаттов в сопровождении боевых роботов
GW_HUTTS_AAJ,Танковая рота «Хатт Репульсор»
GW_HUTTS_AAK,Контингент боевых роботов хаттов
GW_HUTTS_AAL,Хаттское военное трио
GW_HUTTS_AAM,Линия боя с репульсорами хаттов
GW_HUTTS_AAN,Хаттское усиленное воздушное разведывательное крыло
GW_HUTTS_AAO,Хатт Гаморреанский натиск
GW_HUTTS_AAQ,Парусная баржа Хатт с эскортом
GW_HUTTS_AAR,Бронированная боевая линия хаттов
GW_NR_AAA,Ранний штурмовой взвод Новой Республики
GW_NR_AAB,Ранний усиленный стрелковый взвод Новой Республики
GW_NR_AAC,Ранний пехотный взвод Новой Республики
GW_NR_AAD,Медицинская группа ранней Новой Республики
GW_NR_AAE,Механизированный взвод морской пехоты Новой Республики
GW_NR_AAF,Ударная группа быстрого репульсора Новой Республики
GW_NR_AAG,Группа поддержки Новой Республики
GW_NR_AAH,Покойный усиленный стрелковый взвод Новой Республики
GW_NR_AAI,Покойный аэромобильный взвод Новой Республики
GW_NR_AAJ,Танковый отряд поддержки флота Новой Республики
GW_NR_AAK,Полет на аэроспидере Т-47 Новой Республики
GW_NR_AAL,Гарнизон армии Новой Республики
GW_NR_AAM,Ударная группа флота джедаев Новой Республики
GW_NR_AAN,Смешанная танковая эскадрилья Новой Республики
GW_NR_AAO,Тяжелая репульсорная эскадрилья Новой Республики
GW_NR_AAP,Полет V-крыла Новой Республики
GW_NR_AAQ,Усиленная артиллерийская батарея Новой Республики
GW_NR_AAR,Группа атмосферного нападения Новой Республики
GW_NR_AAS,Эскадрилья тяжелых танков Новой Республики
GW_NR_AAT,Усиленный полет Т-47 Новой Республики
GW_PA_AAA,Армейский взвод Пентастар
GW_PA_AAB,Пентазвездский гарнизон силовиков
GW_PA_AAC,Команда охотников за пехотой Пентастар
GW_PA_AAD,Взвод поддержки Пентастар
GW_PA_AAE,Взвод легких шагоходов Pentastar
GW_PA_AAF,Усиленный рейд разведки
GW_PA_AAG,Легкий ударный отряд Пентастар
GW_PA_AAH,Зенитная батарея Пентастар
GW_PA_AAI,Охранная компания Пентастар
GW_PA_AAJ,Гусеничный взвод Pentastar
GW_PA_AAK,Усиленная армейская команда коммандос
GW_PA_AAL,Дополненная компания Pentastar COMPNOR
GW_PA_AAM,Тяжелая штурмовая рота Пентастар
GW_PA_AAN,Пентастарский десантно-штурмовой взвод
GW_PA_AAO,Артиллерийская батарея Пентастар
GW_PA_AAP,Осадный отряд Пентастар
GW_PA_AAQ,Инквизиторская штурмовая рота
GW_PA_AAR,Силы безопасности Пентастар
GW_ZSINJ_AAA,Армейский взвод Зинджа
GW_ZSINJ_AAB,Армейский отряд Зинджа
GW_ZSINJ_AAC,Элитный разведывательный корпус хищников
GW_ZSINJ_AAD,Зсиндж Имперская рабочая группа по соблюдению требований
GW_ZSINJ_AAE,Взвод поддержки Зинджа
GW_ZSINJ_AAF,Зинджский репульсорный разведывательный взвод
GW_ZSINJ_AAG,Взвод легкой бронетехники Зиндж
GW_ZSINJ_AAH,Отряд обеспечения лояльности Зсинджа
GW_ZSINJ_AAI,Элитный пехотный батальон Зинджа
GW_ZSINJ_AAJ,Зинджская зенитная батарея
GW_ZSINJ_AAK,Зинджская армейская пехотная дивизия
GW_ZSINJ_AAL,Элитная армейская пехотная дивизия Зиндж
GW_ZSINJ_AAM,Зинджская артиллерийская батарея
GW_ZSINJ_AAN,Артиллерийская батарея прямой наводки Zsinj Self Light
GW_ZSINJ_AAO,Команда Блэк Оперс
GW_ZSINJ_AAP,Зиндж Сухопутно-штурмовая армия
MB_FOTG_SPACE_CORUSCANT_EVACUATION,Корусант подвергается атаке огромного Имперского флота, наносящего удар из Глубинного Ядра. По мнению разведки Новой Республики, многие корабли этого флота были уничтожены много лет назад. Гарм Бел Иблис и его безнадежно превосходящие по численности защитники отступают с боями, пока правительство эвакуируется...
MB_FOTG_SPACE_KATANA_BATTLE,Флот «Катана» представлял собой оперативную группу из двухсот специально модифицированных тяжелых крейсеров «Дредноут». Галактическая Республика ввела в эксплуатацию этот флот сразу после Гиперпространственной войны Старка, пытаясь укрепить способность Республиканского флота реагировать на пиратские угрозы. Чтобы снизить требования к экипажу, «Катана Дредноуты» были оснащены новейшими технологиями автоматизации, а 199 обычных кораблей флота были подключены к компьютерным системам флагмана. К сожалению, весь флот погиб во время своего первого плавания; Вирус улья свел членов экипажа с ума, и адмирал использовал основные средства управления флагманом, чтобы отправить весь флот в слепой гиперпространственный прыжок. О них больше ничего не было слышно – до сих пор…
MB_LAND_PLANET_BYSS_02,Команда коммандос Новой Республики во главе с Лэндо Калриссианом и Веджем Антиллесом тайно спряталась в партии боевых дроидов Балморрана X-1 Viper, направлявшейся в Бисс. Как только они прибудут, они начнут скрытую атаку, используя захваченные военные машины. Их цель столь же проста, сколь и дерзка: уничтожить фабрику по клонированию Императора и положить конец его злому правлению раз и навсегда!
MT_FOTG_SPACE_CORUSCANT_EVACUATION,Эвакуация Корусанта
MT_FOTG_SPACE_KATANA_BATTLE,Битва за флот Катаны
MT_LAND_PLANET_BYSS_02,Битва при Биссе
SET_YOUR_GAME_LANGUAGE_TO_ENGLISH_IF_YOU_READ_THIS,Этот мод обновлен до версии 3.5.1 6 февраля 2026 года.
TEXT_A_WING_SQUADRON,Эскадрилья А-крыла
TEXT_A_WING_SQUADRON_HALF,Эскадрилья А-крыла 1/2
TEXT_A_WING_SQUADRON2,Эскадрилья А-крыла x2
TEXT_ABILITY_DEPLOY_ARMY,Развертывание армейских солдат
TEXT_ABILITY_DEPLOY_ARMY_DESCRIPTION,Выведите из транспорта отряд армейских солдат.
TEXT_ABILITY_DEPLOY_POLICE,Развертывание полицейских силовиков
TEXT_ABILITY_DEPLOY_POLICE_DESCRIPTION,Выведите из транспорта отряд полицейских.
TEXT_ABILITY_DEPLOY_SPEEDER,Развернуть спидер-байк
TEXT_ABILITY_DEPLOY_SPEEDER_DESCRIPTION,Разверните спидер-байк из транспорта.
TEXT_ABILITY_RETREAT_HIMS_DESCRIPTION,После периода зарядки этот аппарат совершает аварийный прыжок из системы и возвращается на одну из ваших контролируемых планет. Благодаря корабельному гиперволновому инерционному стабилизатору импульса этот прыжок можно выполнить, пока активны интердикторы.
TEXT_ARMORED_INTERCEPTOR_SQUADRON,Эскадрилья бронированных TIE-перехватчиков
