TEXT_2_WARPOD_SQUADRON,#2 Эскадрилья боевых капсул
TEXT_2_WARPOD_SQUADRON_HALF,#2 Эскадрилья боевых капсул 1/2
TEXT_2_WARPOD_SQUADRON2,#2 Эскадрильи боевых капсул x2
TEXT_74Z_SPEEDER_BIKE_COMPANY,74-Z Спидер-разведывательная рота
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON,Эскадрилья штурмовых истребителей «Агрессор»
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON_HALF,Штурмовая истребительная эскадрилья «Агрессор» 1/2
TEXT_AGGRESSOR_ASSAULT_FIGHTER_SQUADRON2,Штурмовая истребительная эскадрилья «Агрессор» x2
TEXT_ARC170_SQUADRON,Эскадрилья ARC-170
TEXT_ARC170_SQUADRON_HALF,Эскадрилья ARC-170 1/2
TEXT_ARC170_SQUADRON2,Эскадрилья ARC-170 x2
TEXT_ATL_INTERCEPTOR_SQUADRON,Эскадрилья перехватчиков ATL
TEXT_ATL_INTERCEPTOR_SQUADRON_HALF,Эскадрилья-перехватчик ATL 1/2
TEXT_ATL_INTERCEPTOR_SQUADRON2,2x эскадрилья-перехватчик ATL
TEXT_BOSSK_SWAP_DESCRIPTION,Переключение между бластером и огнеметом.
TEXT_BTLB_Y_WING_SQUADRON,Эскадрилья БТЛ-Б Y-крыла
TEXT_BTLB_Y_WING_SQUADRON_HALF,БТЛ-Б Y-крылая эскадрилья 1/2
TEXT_BTLB_Y_WING_SQUADRON2,Эскадрилья Y-крыла БТЛ-Б x2
TEXT_BTLS1_Y_WING_SQUADRON,Эскадрилья BTL-S1 Y-крыла
TEXT_BTLS1_Y_WING_SQUADRON_HALF,BTL-S1 Эскадрилья Y-крыла 1/2
TEXT_BTLS1_Y_WING_SQUADRON2,BTL-S1 Эскадрилья Y-крыла x2
TEXT_CITADEL_CRUISER_GROUP,Группа Цитадель Крейсер
TEXT_CITADEL_CRUISER_SQUADRON,Крейсерская эскадрилья «Цитадель»
TEXT_CLOAKSHAPE_NEW_SQUADRON,Современная эскадрилья в форме плаща
TEXT_CLOAKSHAPE_NEW_SQUADRON_HALF,Эскадрилья современной плащевой формы 1/2
TEXT_CLOAKSHAPE_NEW_SQUADRON2,Современная эскадрилья плаща 2x
TEXT_CLOAKSHAPE_SQUADRON,Плащевая эскадрилья
TEXT_CLOAKSHAPE_SQUADRON_HALF,Плащевая эскадрилья 1/2
TEXT_CLOAKSHAPE_SQUADRON2,Плащевая эскадрилья 2x
TEXT_CLOAKSHAPE_STOCK_SQUADRON,Стандартная эскадрилья в форме плаща
TEXT_CLOAKSHAPE_STOCK_SQUADRON_HALF,Стандартная эскадрилья в форме плаща 1/2
TEXT_CLOAKSHAPE_STOCK_SQUADRON2,Стандартная эскадрилья плаща 2x
TEXT_COMPANY_BAKTOID,Бактоид Индастриз
TEXT_COMPANY_BALMORRAN_ARMS,Балморранский герб
